Time	Node	Type	Packets	
20	11	CacheHits	0
20	11	CacheMisses	0
21	0	CacheHits	0
21	0	CacheMisses	0
21	1	CacheHits	0
21	1	CacheMisses	0
21	2	CacheHits	0
21	2	CacheMisses	0
21	3	CacheHits	0
21	3	CacheMisses	0
21	4	CacheHits	0
21	4	CacheMisses	0
21	5	CacheHits	0
21	5	CacheMisses	0
21	6	CacheHits	0
21	6	CacheMisses	0
21	7	CacheHits	0
21	7	CacheMisses	0
21	8	CacheHits	0
21	8	CacheMisses	0
21	9	CacheHits	0
21	9	CacheMisses	0
21	10	CacheHits	0
21	10	CacheMisses	0
21	11	CacheHits	0
21	11	CacheMisses	0
22	0	CacheHits	0
22	0	CacheMisses	0
22	1	CacheHits	0
22	1	CacheMisses	0
22	2	CacheHits	0
22	2	CacheMisses	0
22	3	CacheHits	0
22	3	CacheMisses	0
22	4	CacheHits	0
22	4	CacheMisses	0
22	5	CacheHits	0
22	5	CacheMisses	0
22	6	CacheHits	0
22	6	CacheMisses	0
22	7	CacheHits	0
22	7	CacheMisses	0
22	8	CacheHits	0
22	8	CacheMisses	0
22	9	CacheHits	0
22	9	CacheMisses	0
22	10	CacheHits	0
22	10	CacheMisses	0
22	11	CacheHits	0
22	11	CacheMisses	0
23	0	CacheHits	0
23	0	CacheMisses	0
23	1	CacheHits	0
23	1	CacheMisses	0
23	2	CacheHits	0
23	2	CacheMisses	0
23	3	CacheHits	0
23	3	CacheMisses	0
23	4	CacheHits	0
23	4	CacheMisses	0
23	5	CacheHits	0
23	5	CacheMisses	0
23	6	CacheHits	0
23	6	CacheMisses	0
23	7	CacheHits	0
23	7	CacheMisses	0
23	8	CacheHits	0
23	8	CacheMisses	0
23	9	CacheHits	0
23	9	CacheMisses	0
23	10	CacheHits	0
23	10	CacheMisses	0
23	11	CacheHits	0
23	11	CacheMisses	0
24	0	CacheHits	0
24	0	CacheMisses	0
24	1	CacheHits	0
24	1	CacheMisses	0
24	2	CacheHits	0
24	2	CacheMisses	0
24	3	CacheHits	0
24	3	CacheMisses	0
24	4	CacheHits	0
24	4	CacheMisses	0
24	5	CacheHits	0
24	5	CacheMisses	0
24	6	CacheHits	0
24	6	CacheMisses	0
24	7	CacheHits	0
24	7	CacheMisses	0
24	8	CacheHits	0
24	8	CacheMisses	0
24	9	CacheHits	0
24	9	CacheMisses	0
24	10	CacheHits	0
24	10	CacheMisses	0
24	11	CacheHits	0
24	11	CacheMisses	0
25	0	CacheHits	0
25	0	CacheMisses	0
25	1	CacheHits	0
25	1	CacheMisses	0
25	2	CacheHits	0
25	2	CacheMisses	0
25	3	CacheHits	0
25	3	CacheMisses	0
25	4	CacheHits	0
25	4	CacheMisses	0
25	5	CacheHits	0
25	5	CacheMisses	0
25	6	CacheHits	0
25	6	CacheMisses	0
25	7	CacheHits	0
25	7	CacheMisses	0
25	8	CacheHits	0
25	8	CacheMisses	0
25	9	CacheHits	0
25	9	CacheMisses	0
25	10	CacheHits	0
25	10	CacheMisses	0
25	11	CacheHits	0
25	11	CacheMisses	0
26	0	CacheHits	0
26	0	CacheMisses	0
26	1	CacheHits	0
26	1	CacheMisses	0
26	2	CacheHits	0
26	2	CacheMisses	0
26	3	CacheHits	0
26	3	CacheMisses	0
26	4	CacheHits	0
26	4	CacheMisses	0
26	5	CacheHits	0
26	5	CacheMisses	0
26	6	CacheHits	0
26	6	CacheMisses	0
26	7	CacheHits	0
26	7	CacheMisses	0
26	8	CacheHits	0
26	8	CacheMisses	0
26	9	CacheHits	0
26	9	CacheMisses	0
26	10	CacheHits	0
26	10	CacheMisses	0
26	11	CacheHits	0
26	11	CacheMisses	0
27	0	CacheHits	0
27	0	CacheMisses	0
27	1	CacheHits	0
27	1	CacheMisses	0
27	2	CacheHits	0
27	2	CacheMisses	0
27	3	CacheHits	0
27	3	CacheMisses	0
27	4	CacheHits	0
27	4	CacheMisses	0
27	5	CacheHits	0
27	5	CacheMisses	0
27	6	CacheHits	0
27	6	CacheMisses	0
27	7	CacheHits	0
27	7	CacheMisses	0
27	8	CacheHits	0
27	8	CacheMisses	0
27	9	CacheHits	0
27	9	CacheMisses	0
27	10	CacheHits	0
27	10	CacheMisses	0
27	11	CacheHits	0
27	11	CacheMisses	0
28	0	CacheHits	0
28	0	CacheMisses	0
28	1	CacheHits	0
28	1	CacheMisses	0
28	2	CacheHits	0
28	2	CacheMisses	0
28	3	CacheHits	0
28	3	CacheMisses	0
28	4	CacheHits	0
28	4	CacheMisses	0
28	5	CacheHits	0
28	5	CacheMisses	0
28	6	CacheHits	0
28	6	CacheMisses	0
28	7	CacheHits	0
28	7	CacheMisses	0
28	8	CacheHits	0
28	8	CacheMisses	0
28	9	CacheHits	0
28	9	CacheMisses	0
28	10	CacheHits	0
28	10	CacheMisses	0
28	11	CacheHits	0
28	11	CacheMisses	0
29	0	CacheHits	0
29	0	CacheMisses	0
29	1	CacheHits	0
29	1	CacheMisses	0
29	2	CacheHits	0
29	2	CacheMisses	0
29	3	CacheHits	0
29	3	CacheMisses	0
29	4	CacheHits	0
29	4	CacheMisses	0
29	5	CacheHits	0
29	5	CacheMisses	0
29	6	CacheHits	0
29	6	CacheMisses	0
29	7	CacheHits	0
29	7	CacheMisses	0
29	8	CacheHits	0
29	8	CacheMisses	0
29	9	CacheHits	0
29	9	CacheMisses	0
29	10	CacheHits	0
29	10	CacheMisses	0
29	11	CacheHits	0
29	11	CacheMisses	0
30	0	CacheHits	0
30	0	CacheMisses	0
30	1	CacheHits	0
30	1	CacheMisses	0
30	2	CacheHits	0
30	2	CacheMisses	0
30	3	CacheHits	0
30	3	CacheMisses	0
30	4	CacheHits	0
30	4	CacheMisses	0
30	5	CacheHits	0
30	5	CacheMisses	0
30	6	CacheHits	0
30	6	CacheMisses	0
30	7	CacheHits	0
30	7	CacheMisses	0
30	8	CacheHits	0
30	8	CacheMisses	0
30	9	CacheHits	0
30	9	CacheMisses	0
30	10	CacheHits	0
30	10	CacheMisses	0
30	11	CacheHits	0
30	11	CacheMisses	0
31	0	CacheHits	0
31	0	CacheMisses	0
31	1	CacheHits	0
31	1	CacheMisses	0
31	2	CacheHits	0
31	2	CacheMisses	0
31	3	CacheHits	0
31	3	CacheMisses	0
31	4	CacheHits	0
31	4	CacheMisses	0
31	5	CacheHits	0
31	5	CacheMisses	0
31	6	CacheHits	0
31	6	CacheMisses	0
31	7	CacheHits	0
31	7	CacheMisses	0
31	8	CacheHits	0
31	8	CacheMisses	0
31	9	CacheHits	0
31	9	CacheMisses	0
31	10	CacheHits	0
31	10	CacheMisses	0
31	11	CacheHits	0
31	11	CacheMisses	0
32	0	CacheHits	0
32	0	CacheMisses	0
32	1	CacheHits	0
32	1	CacheMisses	0
32	2	CacheHits	0
32	2	CacheMisses	0
32	3	CacheHits	0
32	3	CacheMisses	0
32	4	CacheHits	0
32	4	CacheMisses	0
32	5	CacheHits	0
32	5	CacheMisses	0
32	6	CacheHits	0
32	6	CacheMisses	0
32	7	CacheHits	0
32	7	CacheMisses	0
32	8	CacheHits	0
32	8	CacheMisses	0
32	9	CacheHits	0
32	9	CacheMisses	0
32	10	CacheHits	0
32	10	CacheMisses	0
32	11	CacheHits	0
32	11	CacheMisses	0
