Time	Node	Type	Packets	
44	7	CacheMisses	0
44	8	CacheHits	0
44	8	CacheMisses	0
44	9	CacheHits	0
44	9	CacheMisses	0
45	0	CacheHits	10
45	0	CacheMisses	0
45	1	CacheHits	8
45	1	CacheMisses	2
45	2	CacheHits	9
45	2	CacheMisses	1
45	3	CacheHits	0
45	3	CacheMisses	0
45	4	CacheHits	0
45	4	CacheMisses	0
45	5	CacheHits	3
45	5	CacheMisses	0
45	6	CacheHits	0
45	6	CacheMisses	0
45	7	CacheHits	0
45	7	CacheMisses	0
45	8	CacheHits	0
45	8	CacheMisses	0
45	9	CacheHits	0
45	9	CacheMisses	0
46	0	CacheHits	10
46	0	CacheMisses	0
46	1	CacheHits	9
46	1	CacheMisses	1
46	2	CacheHits	9
46	2	CacheMisses	1
46	3	CacheHits	0
46	3	CacheMisses	0
46	4	CacheHits	0
46	4	CacheMisses	0
46	5	CacheHits	2
46	5	CacheMisses	0
46	6	CacheHits	0
46	6	CacheMisses	0
46	7	CacheHits	0
46	7	CacheMisses	0
46	8	CacheHits	0
46	8	CacheMisses	0
46	9	CacheHits	0
46	9	CacheMisses	0
47	0	CacheHits	9
47	0	CacheMisses	1
47	1	CacheHits	10
47	1	CacheMisses	0
47	2	CacheHits	10
47	2	CacheMisses	0
47	3	CacheHits	0
47	3	CacheMisses	0
47	4	CacheHits	0
47	4	CacheMisses	0
47	5	CacheHits	1
47	5	CacheMisses	0
47	6	CacheHits	0
47	6	CacheMisses	0
47	7	CacheHits	0
47	7	CacheMisses	0
47	8	CacheHits	0
47	8	CacheMisses	0
47	9	CacheHits	0
47	9	CacheMisses	0
48	0	CacheHits	9
48	0	CacheMisses	1
48	1	CacheHits	8
48	1	CacheMisses	2
48	2	CacheHits	8
48	2	CacheMisses	2
48	3	CacheHits	0
48	3	CacheMisses	0
48	4	CacheHits	0
48	4	CacheMisses	0
48	5	CacheHits	5
48	5	CacheMisses	0
48	6	CacheHits	0
48	6	CacheMisses	0
48	7	CacheHits	0
48	7	CacheMisses	0
48	8	CacheHits	0
48	8	CacheMisses	0
48	9	CacheHits	0
48	9	CacheMisses	0
49	0	CacheHits	10
49	0	CacheMisses	0
49	1	CacheHits	10
49	1	CacheMisses	0
49	2	CacheHits	9
49	2	CacheMisses	1
49	3	CacheHits	0
49	3	CacheMisses	0
49	4	CacheHits	0
49	4	CacheMisses	0
49	5	CacheHits	1
49	5	CacheMisses	0
49	6	CacheHits	0
49	6	CacheMisses	0
49	7	CacheHits	0
49	7	CacheMisses	0
49	8	CacheHits	0
49	8	CacheMisses	0
49	9	CacheHits	0
49	9	CacheMisses	0
50	0	CacheHits	9
50	0	CacheMisses	1
50	1	CacheHits	10
50	1	CacheMisses	0
50	2	CacheHits	9
50	2	CacheMisses	1
50	3	CacheHits	0
50	3	CacheMisses	0
50	4	CacheHits	0
50	4	CacheMisses	0
50	5	CacheHits	2
50	5	CacheMisses	0
50	6	CacheHits	0
50	6	CacheMisses	0
50	7	CacheHits	0
50	7	CacheMisses	0
50	8	CacheHits	0
50	8	CacheMisses	0
50	9	CacheHits	0
50	9	CacheMisses	0
51	0	CacheHits	10
51	0	CacheMisses	0
51	1	CacheHits	10
51	1	CacheMisses	0
51	2	CacheHits	10
51	2	CacheMisses	0
51	3	CacheHits	0
51	3	CacheMisses	0
51	4	CacheHits	0
51	4	CacheMisses	0
51	5	CacheHits	0
51	5	CacheMisses	0
51	6	CacheHits	0
51	6	CacheMisses	0
51	7	CacheHits	0
51	7	CacheMisses	0
51	8	CacheHits	0
51	8	CacheMisses	0
51	9	CacheHits	0
51	9	CacheMisses	0
52	0	CacheHits	10
52	0	CacheMisses	0
52	1	CacheHits	10
52	1	CacheMisses	0
52	2	CacheHits	10
52	2	CacheMisses	0
52	3	CacheHits	0
52	3	CacheMisses	0
52	4	CacheHits	0
52	4	CacheMisses	0
52	5	CacheHits	0
52	5	CacheMisses	0
52	6	CacheHits	0
52	6	CacheMisses	0
52	7	CacheHits	0
52	7	CacheMisses	0
52	8	CacheHits	0
52	8	CacheMisses	0
52	9	CacheHits	0
52	9	CacheMisses	0
53	0	CacheHits	10
53	0	CacheMisses	0
53	1	CacheHits	9
53	1	CacheMisses	1
53	2	CacheHits	10
53	2	CacheMisses	0
53	3	CacheHits	0
53	3	CacheMisses	0
53	4	CacheHits	0
53	4	CacheMisses	0
53	5	CacheHits	1
53	5	CacheMisses	0
53	6	CacheHits	0
53	6	CacheMisses	0
53	7	CacheHits	0
53	7	CacheMisses	0
53	8	CacheHits	0
53	8	CacheMisses	0
53	9	CacheHits	0
53	9	CacheMisses	0
54	0	CacheHits	9
54	0	CacheMisses	1
54	1	CacheHits	10
54	1	CacheMisses	0
54	2	CacheHits	10
54	2	CacheMisses	0
54	3	CacheHits	0
54	3	CacheMisses	0
54	4	CacheHits	0
54	4	CacheMisses	0
54	5	CacheHits	1
54	5	CacheMisses	0
54	6	CacheHits	0
54	6	CacheMisses	0
54	7	CacheHits	0
54	7	CacheMisses	0
54	8	CacheHits	0
54	8	CacheMisses	0
54	9	CacheHits	0
54	9	CacheMisses	0
55	0	CacheHits	10
55	0	CacheMisses	0
55	1	CacheHits	10
55	1	CacheMisses	0
55	2	CacheHits	10
55	2	CacheMisses	0
55	3	CacheHits	0
55	3	CacheMisses	0
55	4	CacheHits	0
55	4	CacheMisses	0
55	5	CacheHits	0
55	5	CacheMisses	0
55	6	CacheHits	0
55	6	CacheMisses	0
55	7	CacheHits	0
55	7	CacheMisses	0
55	8	CacheHits	0
55	8	CacheMisses	0
55	9	CacheHits	0
55	9	CacheMisses	0
56	0	CacheHits	10
56	0	CacheMisses	0
56	1	CacheHits	10
56	1	CacheMisses	0
56	2	CacheHits	10
56	2	CacheMisses	0
56	3	CacheHits	0
56	3	CacheMisses	0
56	4	CacheHits	0
56	4	CacheMisses	0
56	5	CacheHits	0
56	5	CacheMisses	0
56	6	CacheHits	0
56	6	CacheMisses	0
56	7	CacheHits	0
