Time	Node	Type	Packets	
29	r3	CacheHits	0
29	r3	CacheMisses	0
29	r4	CacheHits	0
29	r4	CacheMisses	0
29	6	CacheHits	0
29	6	CacheMisses	0
29	7	CacheHits	0
29	7	CacheMisses	0
29	8	CacheHits	0
29	8	CacheMisses	0
29	9	CacheHits	0
29	9	CacheMisses	0
29	10	CacheHits	0
29	10	CacheMisses	0
29	11	CacheHits	0
29	11	CacheMisses	0
30	p1	CacheHits	0
30	p1	CacheMisses	0
30	p2	CacheHits	0
30	p2	CacheMisses	0
30	r1	CacheHits	0
30	r1	CacheMisses	0
30	r2	CacheHits	0
30	r2	CacheMisses	0
30	r3	CacheHits	0
30	r3	CacheMisses	0
30	r4	CacheHits	0
30	r4	CacheMisses	0
30	6	CacheHits	0
30	6	CacheMisses	0
30	7	CacheHits	0
30	7	CacheMisses	0
30	8	CacheHits	0
30	8	CacheMisses	0
30	9	CacheHits	0
30	9	CacheMisses	0
30	10	CacheHits	0
30	10	CacheMisses	0
30	11	CacheHits	0
30	11	CacheMisses	0
31	p1	CacheHits	0
31	p1	CacheMisses	0
31	p2	CacheHits	0
31	p2	CacheMisses	0
31	r1	CacheHits	0
31	r1	CacheMisses	0
31	r2	CacheHits	0
31	r2	CacheMisses	0
31	r3	CacheHits	0
31	r3	CacheMisses	0
31	r4	CacheHits	0
31	r4	CacheMisses	0
31	6	CacheHits	0
31	6	CacheMisses	0
31	7	CacheHits	0
31	7	CacheMisses	0
31	8	CacheHits	0
31	8	CacheMisses	0
31	9	CacheHits	0
31	9	CacheMisses	0
31	10	CacheHits	0
31	10	CacheMisses	0
31	11	CacheHits	0
31	11	CacheMisses	0
32	p1	CacheHits	0
32	p1	CacheMisses	0
32	p2	CacheHits	0
32	p2	CacheMisses	0
32	r1	CacheHits	0
32	r1	CacheMisses	0
32	r2	CacheHits	0
32	r2	CacheMisses	0
32	r3	CacheHits	0
32	r3	CacheMisses	0
32	r4	CacheHits	0
32	r4	CacheMisses	0
32	6	CacheHits	0
32	6	CacheMisses	0
32	7	CacheHits	0
32	7	CacheMisses	0
32	8	CacheHits	0
32	8	CacheMisses	0
